"Sp_ScientificName","SpCode","Sp_CommonName","AutoCtr","StockCode","FamCode","PopLWRef","LengthMin","LengthMax","Type","LmaxCompare","EsQ","Number","Sex","a","aTL","b","CoeffDetermination","SEa","SEb","SDa","SDb","LCLa","UCLa","LCLb","UCLb","Method","Locality","DataRef","C_Code","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
"Sebastes emphaeus","ROCKPUG","Puget Sound rockfish",5782,4162,573,27786,NA,NA,"FL",NA,NA,NA,"mixed",0.0588,0.05265,2.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","San Juan Is., Washington, 1994-95",27786,"840",NA,3,"2000-11-19T00:00:00.000Z",NA,"2000-11-19T00:00:00.000Z",NA,NA,NA,3966
"Sebastes flavidus","ROCKYT","Yellowtail rockfish",1958,519,573,6323,55,55,"TL",NA,NA,1,"unsexed",0.01509,0.01509,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3",NA,NA,NA,"Estimated from data given in Reference.",1,"1999-06-17T00:00:00.000Z",NA,"1999-06-17T00:00:00.000Z",NA,NA,NA,503
"Sebastes flavidus","ROCKYT","Yellowtail rockfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sebastes nebulosus","ROCKCHI","China rockfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sebastes nebulosus","ROCKCHI","China rockfish",5794,4180,573,6323,42,42,"TL",NA,NA,1,"unsexed",0.02254,0.02254,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3",NA,NA,NA,"Estimated from data given in Reference.",1,"1999-06-17T00:00:00.000Z",NA,"1999-06-17T00:00:00.000Z",NA,NA,NA,3984
"Sebastes paucispinis","BOCACCIO","Bocaccio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sebastes paucispinis","BOCACCIO","Bocaccio",5797,4183,573,6323,90,90,"TL",NA,NA,1,"unsexed",0.01321,0.01321,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3",NA,NA,NA,"Estimated from data given in Reference.",1,"1999-06-17T00:00:00.000Z",NA,"1999-06-17T00:00:00.000Z",NA,NA,NA,3987
"Spirinchus thaleichthys","SMELTLF","Longfin smelt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Staurophora mertensii","JLYX","""x"" jellyfish, ""cross"", ""southern cross""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stellerina xyosterna","POAPRICK","Pricklebreast poacher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stichaeidae","UNPRICK","Juvenile prickleback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stichaeus punctatus","SHANNYAR","Arctic shanny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Strongylocentrotus droebachiensis","URCHGRN","Green urchin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Superfamily Doridoidea","NUDDORID","unidentified dorid nudibranch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tegula pulligo","SNAILBT","Brown turban snail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Temessus cheiragonus, Cheiragonidae","CRABHEL","Helmet crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thaleichthys pacificus","EULACHON","Eulachon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trichodon trichodon","SANDFSHP","Pacific sandfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xiphister atropurpureus","PRICKBLK","Black prickleback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
