"site_name","site_code","latitude_N","longitude_E","so_region","date_dd.mm.yy","cage_present","replicate","beach_slope","fucus_upper_elev_mllw_cm","fucus_lower_elev_mllw_cm","fucus_mean_elev_mllw_cm","fucus_band_height_cm","edge_diffuse_elev_mllw_cm","edge_continuous_elev_mllw_cm","diffuse_band_width_cm","diffuse_band_height_cm","area_diffuse_band_m2","shoot_density_diffuse_m2","shoot_density_continuous_m2","shoot_density_inside_m2","flower_density_diffuse_m2","flower_density_continuous_m2","flower_density_inside_m2"
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","10/7/18","No",11,0.0151532546056454,NA,NA,NA,NA,23.8724,22.8724,66,1,33,52,740,992,0,12,12
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","11/7/18","No",1,0.0123466199581199,171.7752,84.7752,128.2752,87,78.7752,77.7752,81,1,40.5,24,476,752,0,40,28
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","11/7/18","No",2,0.0172439425125162,174.7752,76.7752,125.7752,98,71.7752,70.7752,58,1,29,104,408,568,0,0,28
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","11/7/18","No",3,0.0435194139889242,165.7752,78.7752,122.2752,87,64.7752,63.7752,23,0.999999999999993,11.5,NA,696,580,NA,16,32
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","11/7/18","No",4,0.125988157669742,163.7752,79.7752,121.7752,84,64.7752,63.7752,8,0.999999999999993,4,NA,684,688,NA,20,12
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","11/7/18","No",5,0.0185216946644159,162.7752,81.7752,122.2752,81,66.7752,65.7752,54,1,27,10,488,540,0,16,8
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","11/7/18","No",6,0.0668153104781061,161.7752,77.7752,119.7752,84,61.7752,60.7752,15,1,7.5,NA,676,828,NA,32,24
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","11/7/18","No",7,0.0250078161640178,160.7752,78.7752,119.7752,82,63.7752,59.7752,160,4,80,52,760,724,8,40,12
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","11/7/18","No",8,0,165.7752,75.7752,120.7752,90,62.7752,62.7752,30,0,15,62,692,608,12,24,8
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","11/7/18","No",9,0.0435194139889245,164.7752,80.7752,122.7752,84,70.7752,67.7752,69,3,34.5,102,536,672,0,16,12
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","11/7/18","No",10,0.00684947573550544,169.7752,80.7752,125.2752,89,64.7752,63.7752,146,0.999999999999993,73,34,792,428,4,44,20
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","11/7/18","No",11,0.00873395755703025,NA,NA,NA,NA,63.7752,59.7752,458,4,229,44,436,444,0,8,12
