"site_name","site_code","latitude_N","longitude_E","so_region","cage_present","date_dd.mm.yy","replicate","distance_diffuse_band_cm","fucus_upper_elev_mllw_cm","fucus_lower_elev_mllw_cm","fucus_mean_elev_mllw_cm","fucus_band_height_cm","edge_diffuse_elev_mllw_cm","edge_continuous_elev_mllw_cm","diffuse_band_height_cm","beach_slope","area_diffuse_band_m2","shoot_density_inside_m2","shoot_density_continuous_m2","shoot_density_diffuse_m2","flower_density_inside_m2","flower_density_continuous_m2","flower_density_diffuse_m2"
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","No","10/7/18",11,66,NA,NA,NA,NA,23.8724,22.8724,1,0.0151532546056454,33,992,740,52,12,12,0
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","No","11/7/18",1,81,171.7752,84.7752,128.2752,87,78.7752,77.7752,1,0.0123466199581199,40.5,752,476,24,28,40,0
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","No","11/7/18",2,58,174.7752,76.7752,125.7752,98,71.7752,70.7752,1,0.0172439425125162,29,568,408,104,28,0,0
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","No","11/7/18",3,23,165.7752,78.7752,122.2752,87,64.7752,63.7752,0.999999999999993,0.0435194139889242,11.5,580,696,NA,32,16,NA
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","No","11/7/18",4,8,163.7752,79.7752,121.7752,84,64.7752,63.7752,0.999999999999993,0.125988157669742,4,688,684,NA,12,20,NA
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","No","11/7/18",5,54,162.7752,81.7752,122.2752,81,66.7752,65.7752,1,0.0185216946644159,27,540,488,10,8,16,0
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","No","11/7/18",6,15,161.7752,77.7752,119.7752,84,61.7752,60.7752,1,0.0668153104781061,7.5,828,676,NA,24,32,NA
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","No","11/7/18",7,160,160.7752,78.7752,119.7752,82,63.7752,59.7752,4,0.0250078161640178,80,724,760,52,12,40,8
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","No","11/7/18",8,30,165.7752,75.7752,120.7752,90,62.7752,62.7752,0,0,15,608,692,62,8,24,12
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","No","11/7/18",9,69,164.7752,80.7752,122.7752,84,70.7752,67.7752,3,0.0435194139889245,34.5,672,536,102,12,16,0
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","No","11/7/18",10,146,169.7752,80.7752,125.2752,89,64.7752,63.7752,0.999999999999993,0.00684947573550544,73,428,792,34,20,44,4
"Big Tree Bay a","M_10_a",55.585855,-133.215512,"Mid","No","11/7/18",11,458,NA,NA,NA,NA,63.7752,59.7752,4,0.00873395755703025,229,444,436,44,12,8,0
